Type_H,Type_L,Type_M,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],True_Binary,Predicted_Failure_Binary,Predicted_Failure_Type,True_Failure
0.0,0.0,1.0,-0.652413241617146,-0.1385492604507661,-1.0920427076463237,1.3656195417617392,0.4092475341221299,0,0,No Failure,No Failure
0.0,1.0,0.0,0.2475153636803477,1.0072657948436043,-0.2720739881549785,-0.159193490017117,-0.6433681051032797,0,0,No Failure,No Failure
0.0,1.0,0.0,1.2974320698607618,1.4790719940824582,0.871419804332952,-1.2927715991685031,-1.1932419464896877,0,0,No Failure,No Failure
0.0,1.0,0.0,-0.15245290534076375,-0.5429545740840913,-0.651379246150975,0.04143980363799563,0.5035116212169427,0,0,No Failure,No Failure
0.0,0.0,1.0,1.0974479353501918,0.737662252421413,1.055494414831009,-0.6005867360583647,1.1162281873332258,0,0,No Failure,No Failure
0.0,0.0,1.0,-1.252365645148799,-0.9473598877173782,1.6913885238242972,-1.3028032638512588,0.39353685293966106,0,0,No Failure,No Failure
0.0,1.0,0.0,-0.5524211743618752,0.2658560531825208,1.6300303203249449,-1.463309898775349,-0.4234185685487165,0,0,No Failure,No Failure
0.0,1.0,0.0,-0.40243307347895485,-0.8799590021118496,-1.1924470406452639,1.1047962600100927,0.9905427378734755,0,0,No Failure,No Failure
0.0,0.0,1.0,-1.3523577124040698,-1.149562544534041,0.31361795433883954,-0.7811567003479657,-1.240373990037094,0,0,No Failure,No Failure
0.0,1.0,0.0,-1.0023854770106078,-0.7451572309007539,0.21879163983984043,-0.44008010113427437,0.7077504765890371,0,0,No Failure,No Failure
0.0,0.0,1.0,-1.2023696115211493,-0.9473598877173782,0.2578377693394283,0.20194643856208588,-0.28202243790649734,0,0,No Failure,No Failure
0.0,0.0,1.0,-0.35243703985130526,-0.8799590021118496,-0.8298758381490909,0.9342579604032467,1.6818127099021027,0,0,No Failure,No Failure
0.0,1.0,0.0,1.2974320698607618,1.4790719940824582,-0.9023900786483255,0.5530547024585329,-0.8476069604753741,0,0,No Failure,No Failure
0.0,1.0,0.0,-0.05246083808549298,-0.47555368847852436,-0.3669003026539776,0.04143980363799563,-0.7690535545630302,0,0,No Failure,No Failure
1.0,0.0,0.0,-0.8523973761276875,-1.216963430139608,-0.026641174157569038,-0.6808400535204094,-0.5176826556435293,0,0,No Failure,No Failure
0.0,1.0,0.0,0.7474756999567299,0.33325693878808776,-0.47846067265280007,0.42264306158271003,0.3306941282097859,0,0,No Failure,No Failure
0.0,1.0,0.0,-1.252365645148799,-0.9473598877173782,0.8658417858330109,-1.2927715991685031,-1.1303992217598124,0,0,No Failure,No Failure
0.0,1.0,0.0,0.6974796663290803,0.4680587099991834,2.5113572433156426,-1.8244498273545515,-1.3974808018617821,0,0,No Failure,No Failure
0.0,0.0,1.0,1.4974162043713033,1.8160764221102164,-0.6290671721512104,0.6834663433343559,-0.14062630726427813,0,0,No Failure,No Failure
0.0,0.0,1.0,0.6474836327014591,0.670261366815846,-0.7629396161497974,0.7536879961136456,1.3990204486176643,0,0,No Failure,No Failure
0.0,0.0,1.0,-1.2023696115211493,-0.27335103166186175,-1.1645569481455584,1.315461218347961,-1.5860089760514078,0,0,No Failure,No Failure
0.0,1.0,0.0,-0.652413241617146,-0.1385492604507661,-0.3892123766537421,-0.159193490017117,-0.7219215110156237,0,0,No Failure,No Failure
0.0,1.0,0.0,0.997455868094921,0.2658560531825208,-1.1310888371459116,1.8270761171684984,0.03219118574287867,1,1,Heat Dissipation Failure,Heat Dissipation Failure
0.0,1.0,0.0,-1.4023537460317193,-1.3517652013507035,1.8419950233227076,-1.463309898775349,0.8648572884137251,0,0,No Failure,No Failure
0.0,0.0,1.0,-1.0023854770106078,-0.8799590021118496,-0.6067550981514459,1.1950812421548933,-0.9575817287526557,0,0,No Failure,No Failure
0.0,0.0,1.0,-0.10245687171311416,0.670261366815846,2.2826584848180564,-2.0050197916441532,1.2104922744280386,0,0,No Failure,No Failure
